DATE,NAME,MAE,R2_SCORE
Sat Jun 22 21:51:05 2024,LinearRegression,561.54,0.9054
Sat Jun 22 21:52:32 2024,GradientBoosting_HyperTuning,375.4,0.9571
Sat Jun 22 21:52:33 2024,PolinomialRegression,501.59,0.6247
Sat Jun 22 21:52:33 2024,LassoCVRegression,762.55,0.9087
Sat Jun 22 22:13:49 2024,LinearRegression,561.54,0.9054
Sun Jun 23 11:46:55 2024,LinearRegression,561.54,0.9054
Sun Jun 23 11:47:10 2024,LinearRegression,561.54,0.9054
Sun Jun 23 11:47:32 2024,LinearRegression,561.54,0.9054
Sun Jun 23 11:50:20 2024,LinearRegression,561.54,0.9054
Sun Jun 23 11:50:31 2024,LinearRegression,561.54,0.9054
Sun Jun 23 11:51:43 2024,LinearRegression,561.54,0.9054
Sun Jun 23 11:51:51 2024,LinearRegression,561.54,0.9054
Sun Jun 23 11:52:05 2024,LinearRegression,561.54,0.9054
Sun Jun 23 12:16:11 2024,LinearRegression,561.54,0.9054
Sun Jun 23 12:16:11 2024,GradientBoosting,381.08,0.9561
Sun Jun 23 12:16:25 2024,LinearRegression,561.54,0.9054
Sun Jun 23 12:16:25 2024,GradientBoosting,381.08,0.9561
Sun Jun 23 12:17:16 2024,LinearRegression,561.54,0.9054
Sun Jun 23 12:17:16 2024,GradientBoosting,381.08,0.9561
Sun Jun 23 12:17:56 2024,LinearRegression,561.54,0.9054
Sun Jun 23 12:18:45 2024,LinearRegression,561.54,0.9054
Sun Jun 23 12:18:45 2024,GradientBoosting,381.08,0.9561
Sun Jun 23 12:37:11 2024,GradientBoosting_HyperTuning,382.04,0.9571
Sun Jun 23 12:39:57 2024,GradientBoosting,381.08,0.9561
Sun Jun 23 18:06:04 2024,GradientBoosting,381.08,0.9561
Sun Jun 23 18:06:43 2024,GradientBoosting,381.08,0.9561
Sun Jun 23 18:06:49 2024,GradientBoosting,381.08,0.9561
Sun Jun 23 18:08:16 2024,GradientBoosting,381.08,0.9561
Sun Jun 23 18:16:36 2024,GradientBoosting,381.08,0.9561
Sun Jun 23 18:16:42 2024,GradientBoosting,381.08,0.9561
